Component,Element,Property,Value,Location,Priority,Issue
"SkeletonLoader","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:144","primary",""
"SkeletonLoader","touchTarget","height","h-8","/Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:146","primary",""
"SkeletonLoader","spacing","margin","mb-3","/Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:159","secondary",""
"SkeletonLoader","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:159","primary",""
"SkeletonLoader","spacing","margin","mb-2","/Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:160","secondary",""
"SkeletonLoader","touchTarget","height","h-8","/Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:160","primary",""
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-7 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:35"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:36"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-9 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:44"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:70"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:71"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:72"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-7 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:90"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-8 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:104"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:106"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:107"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:128"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:138"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:143"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:144"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-8 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:146"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:159"
"SkeletonLoader","","","","","",⚠️ Touch target below WCAG 44px: h-8 at /Users/griffin/Projects/firefighterHub/src/components/SkeletonLoader.tsx:160"
"SkeletonLoader","","","","","",⚠️ Inline styles found (1 instances) - consider using Tailwind classes"
"StationSelector","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/StationSelector.tsx:26","secondary",""
"Toast","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/Toast.tsx:44","secondary",""
"Toast","spacing","margin","m-6","/Users/griffin/Projects/firefighterHub/src/components/Toast.tsx:68","secondary",""
"Toast","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/Toast.tsx:68","secondary",""
"Toast","spacing","margin","m-6","/Users/griffin/Projects/firefighterHub/src/components/Toast.tsx:97","secondary",""
"Tooltip.example","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:18","secondary",""
"Tooltip.example","color","bg","bg-red-900","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:18","tertiary",""
"Tooltip.example","color","text","text-red-400","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:18","tertiary",""
"Tooltip.example","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:32","tertiary",""
"Tooltip.example","spacing","padding","px-2","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:32","secondary",""
"Tooltip.example","spacing","padding","py-1","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:32","secondary",""
"Tooltip.example","color","bg","bg-green-900","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:32","tertiary",""
"Tooltip.example","color","text","text-green-100","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:32","tertiary",""
"Tooltip.example","spacing","padding","px-4","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:45","secondary",""
"Tooltip.example","spacing","padding","py-2","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:45","secondary",""
"Tooltip.example","color","bg","bg-blue-600","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:45","tertiary",""
"Tooltip.example","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:57","secondary",""
"Tooltip.example","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:59","secondary",""
"Tooltip.example","color","bg","bg-gray-700","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:59","tertiary",""
"Tooltip.example","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:65","secondary",""
"Tooltip.example","color","bg","bg-yellow-900","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:65","tertiary",""
"Tooltip.example","color","text","text-yellow-400","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:65","tertiary",""
"Tooltip.example","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:71","secondary",""
"Tooltip.example","color","bg","bg-gray-700","/Users/griffin/Projects/firefighterHub/src/components/Tooltip.example.tsx:71","tertiary",""
"TransferShiftModal","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/TransferShiftModal.tsx:121","secondary",""
"UpdateNotification","spacing","margin","m-4","/Users/griffin/Projects/firefighterHub/src/components/UpdateNotification.tsx:77","secondary",""
"UpdateNotification","touchTarget","height","h-6","/Users/griffin/Projects/firefighterHub/src/components/UpdateNotification.tsx:80","primary",""
"UpdateNotification","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/UpdateNotification.tsx:99","primary",""
"UpdateNotification","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/UpdateNotification.tsx:80"
"UpdateNotification","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/UpdateNotification.tsx:99"
"BigCalendar","","","","","",⚠️ Hardcoded colors found (3 instances) - should use design tokens"
"BigCalendar","","","","","",⚠️ Inline styles found (1 instances) - consider using Tailwind classes"
"CalendarGrid","spacing","padding","py-20","/Users/griffin/Projects/firefighterHub/src/components/calendar/CalendarGrid.tsx:49","secondary",""
"CalendarGrid","","","","","",⚠️ Inline styles found (1 instances) - consider using Tailwind classes"
"CalendarHeader","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/CalendarHeader.tsx:43","secondary",""
"CalendarHeader","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/calendar/CalendarHeader.tsx:43","secondary",""
"CalendarHeader","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/CalendarHeader.tsx:77","secondary",""
"CalendarHeader","spacing","padding","p-6","/Users/griffin/Projects/firefighterHub/src/components/calendar/CalendarHeader.tsx:77","secondary",""
"CalendarLegend","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/CalendarLegend.tsx:48","secondary",""
"DayCell","spacing","margin","mb-3","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:98","secondary",""
"DayCell","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:106","tertiary",""
"DayCell","touchTarget","height","h-6","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:106","primary",""
"DayCell","color","bg","bg-red-600","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:106","tertiary",""
"DayCell","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:121","tertiary",""
"DayCell","spacing","padding","px-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:121","secondary",""
"DayCell","spacing","padding","py-1","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:121","secondary",""
"DayCell","color","bg","bg-slate-700","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:121","tertiary",""
"DayCell","color","text","text-slate-100","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:121","tertiary",""
"DayCell","color","border","border-blue-500","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:121","tertiary",""
"DayCell","color","bg","bg-slate-600","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:121","tertiary",""
"DayCell","spacing","margin","ml-1","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:128","secondary",""
"DayCell","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:142","tertiary",""
"DayCell","spacing","padding","px-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:142","secondary",""
"DayCell","spacing","padding","py-1","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:142","secondary",""
"DayCell","color","bg","bg-slate-700","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:142","tertiary",""
"DayCell","color","text","text-slate-100","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:142","tertiary",""
"DayCell","color","border","border-blue-500","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:142","tertiary",""
"DayCell","color","bg","bg-slate-600","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:142","tertiary",""
"DayCell","spacing","margin","ml-1","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:149","secondary",""
"DayCell","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:159","tertiary",""
"DayCell","spacing","padding","px-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:159","secondary",""
"DayCell","color","text","text-gray-500","/Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:159","tertiary",""
"DayCell","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/calendar/DayCell.tsx:106"
"HoldForm","text","fontSize","text-xl","/Users/griffin/Projects/firefighterHub/src/components/calendar/HoldForm.tsx:103","primary",""
"HoldForm","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/HoldForm.tsx:266","secondary",""
"HoldForm","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/calendar/HoldForm.tsx:271","primary",""
"HoldForm","color","border","border-gray-600","/Users/griffin/Projects/firefighterHub/src/components/calendar/HoldForm.tsx:271","tertiary",""
"HoldForm","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/calendar/HoldForm.tsx:271"
"HoldList","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/HoldList.tsx:139","secondary",""
"HoldList","spacing","margin","mt-2","/Users/griffin/Projects/firefighterHub/src/components/calendar/HoldList.tsx:139","secondary",""
"MaterialMCalendar","spacing","margin","m-1","/Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:67","secondary",""
"MaterialMCalendar","spacing","padding","p-0","/Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:67","secondary",""
"MaterialMCalendar","touchTarget","height","h-1","/Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:71","primary",""
"MaterialMCalendar","spacing","padding","p-6","/Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:81","secondary",""
"MaterialMCalendar","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:145","primary",""
"MaterialMCalendar","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:146","primary",""
"MaterialMCalendar","","","","","",⚠️ Touch target below WCAG 44px: h-1 at /Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:71"
"MaterialMCalendar","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:145"
"MaterialMCalendar","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/calendar/MaterialMCalendar.tsx:146"
"BottomNav","","","","","",⚠️ Inline styles found (1 instances) - consider using Tailwind classes"
"BottomSheet","spacing","padding","pt-3","/Users/griffin/Projects/firefighterHub/src/components/mobile/BottomSheet.tsx:121","secondary",""
"BottomSheet","spacing","padding","pb-2","/Users/griffin/Projects/firefighterHub/src/components/mobile/BottomSheet.tsx:121","secondary",""
"BottomSheet","","","","","",⚠️ Inline styles found (1 instances) - consider using Tailwind classes"
"MobileWeekView","spacing","padding","px-2","/Users/griffin/Projects/firefighterHub/src/components/mobile/MobileWeekView.tsx:98","secondary",""
"MobileWeekView","spacing","padding","p-1","/Users/griffin/Projects/firefighterHub/src/components/mobile/MobileWeekView.tsx:143","secondary",""
"MobileWeekView","spacing","margin","mb-2","/Users/griffin/Projects/firefighterHub/src/components/mobile/MobileWeekView.tsx:143","secondary",""
"MobileWeekView","spacing","padding","p-1","/Users/griffin/Projects/firefighterHub/src/components/mobile/MobileWeekView.tsx:160","secondary",""
"MobileWeekView","spacing","padding","p-0","/Users/griffin/Projects/firefighterHub/src/components/mobile/MobileWeekView.tsx:211","secondary",""
"MobileWeekView","spacing","margin","mt-1","/Users/griffin/Projects/firefighterHub/src/components/mobile/MobileWeekView.tsx:211","secondary",""
"SwipeableCard","spacing","padding","p-0","/Users/griffin/Projects/firefighterHub/src/components/mobile/SwipeableCard.tsx:71","secondary",""
"SwipeableCard","spacing","margin","m-0","/Users/griffin/Projects/firefighterHub/src/components/mobile/SwipeableCard.tsx:71","secondary",""
"SwipeableCard","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/mobile/SwipeableCard.tsx:84","tertiary",""
"SwipeableCard","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/mobile/SwipeableCard.tsx:99","tertiary",""
"SwipeableCard","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/mobile/SwipeableCard.tsx:113","tertiary",""
"BulkActions","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/roster/BulkActions.tsx:56","secondary",""
"BulkActions","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/roster/BulkActions.tsx:58","secondary",""
"BulkActions","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/roster/BulkActions.tsx:90","secondary",""
"ExportMenu","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/roster/ExportMenu.tsx:61","primary",""
"ExportMenu","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/roster/ExportMenu.tsx:89","primary",""
"ExportMenu","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/roster/ExportMenu.tsx:105","primary",""
"ExportMenu","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/roster/ExportMenu.tsx:61"
"ExportMenu","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/roster/ExportMenu.tsx:89"
"ExportMenu","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/roster/ExportMenu.tsx:105"
"RosterHeader","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/roster/RosterHeader.tsx:59","secondary",""
"RosterHeader","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/roster/RosterHeader.tsx:92","secondary",""
"RosterHeader","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/roster/RosterHeader.tsx:106","primary",""
"RosterHeader","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/roster/RosterHeader.tsx:124","primary",""
"RosterHeader","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/roster/RosterHeader.tsx:143","primary",""
"RosterHeader","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/roster/RosterHeader.tsx:106"
"RosterHeader","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/roster/RosterHeader.tsx:124"
"RosterHeader","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/roster/RosterHeader.tsx:143"
